UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_enc,ambient_temp_C,factory_load_pct
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,1,37.26139092254469,56.84825619046474
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,1,27.93251387631033,74.41205647167152
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,1,22.711445355220498,62.94443709852523
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,2,32.11272456051594,87.72616537127823
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,2,21.895781750144888,86.081481800235
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,2,29.044317975023777,57.04425602851994
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,1,18.201649380601122,93.85136356308186
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,0,21.359069755507846,59.04865319890011
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,1,28.984306179345616,89.86295128240538
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,1,31.692332899977053,72.84901798140024
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,1,28.85684140594985,66.41361467790756
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,2,27.421758588058797,57.91196313371068
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,0,26.494481522053555,58.38071280733147
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,2,20.607390048162863,83.094527735045
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,1,24.400778958026457,77.52151939735603
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,2,25.696806145201062,56.10427108256164
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,1,33.285611131094576,55.63489302191626
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,0,29.71809144784231,53.615528738639576
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,2,19.18479922318633,87.1883673686772
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,1,29.620419846973974,85.59410426146445
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,1,26.074588597918417,52.921549542728755
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,0,24.615389998470206,78.01350377984865
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,1,31.05838144420434,54.2338077621345
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,1,33.154997612479754,95.18728853044709
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,1,32.65640059558099,95.35587095900662
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,1,23.803912383886807,84.9116494906565
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,1,26.453938120743928,96.3094460719725
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,2,29.65631715701782,90.57265152068453
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,1,32.877725635611796,91.42692879635247
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,1,25.60412881077355,78.48539252849666
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,2,27.071705116680914,65.3029599108088
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,1,22.46832512996986,60.88995575582108
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,2,22.018966879596647,66.36000110194647
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,1,32.06262911197099,81.4247715044531
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,1,34.78120014285412,58.63282679161995
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,2,27.63994939209833,62.93201183186608
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,0,33.01766448946012,73.40304313977322
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,1,29.80818012523817,61.652504926230776
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,1,24.77440122697438,79.43218348580308
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,2,29.80697802754207,96.1588014228165
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,1,35.690182832329846,87.40446828515633
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,1,27.820869804450243,83.32133070744565
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,1,35.82321827907003,79.13607379918894
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,1,14.901274479551278,74.39739546285324
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,1,32.10951252187612,59.32819298173298
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,1,28.435235341190857,94.73552277134328
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,1,26.504963247670663,62.42680010064181
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,1,28.45880388267751,54.56544387890804
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,1,18.062155426995538,87.50075896143477
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,0,26.90164056081244,58.78077671655832
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,1,29.78556285755873,68.5947999770588
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,1,35.38947022370758,51.414246414548984
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,1,25.40864890863176,56.853397127022404
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,1,23.95753198553406,58.660181537995605
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,2,25.491214782077318,52.7205063875089
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,0,32.57701058851037,82.83284783114226
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,1,29.643755548298422,91.85038979015586
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,2,25.351198981164806,68.66577031829705
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,2,30.56633716556678,93.72882383591003
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,1,28.4853877467402,60.667328728006325
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,1,32.84322495266444,66.26952117806198
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,2,24.489734530613237,57.53684965155842
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,1,26.361689267011158,81.02795977094993
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,1,26.039459234339212,70.99347954351535
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,2,20.682425259339407,80.66416734209494
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,2,29.48060138532288,88.08374526970917
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,2,29.305276360899448,77.28515080164742
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,1,28.025567283212304,81.3815177450894
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,1,26.827064333124266,96.76251571971665
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,1,20.92314628974793,64.95321548044215
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,1,25.896773386173205,67.95819693169766
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,1,26.286427417366152,85.88516808546684
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,2,23.988613653891903,80.56527585276933
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,1,27.193571441669953,58.92664522698574
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,1,30.020254284072692,68.80736550052451
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,1,37.43092950605265,73.39190065623575
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,2,28.872889064159196,70.96949189841946
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,0,29.28775195361382,58.91374041610204
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,1,27.627770421169163,96.22150458921311
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,1,18.406143923504793,88.1159380846988
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,0,27.867430622753915,74.06779160539261
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,2,28.301151049705133,84.00305141534183
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,2,40.316210562426434,94.8641336067761
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,1,27.038195176094387,56.80870711807856
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,1,29.507736711668063,62.518652535348885
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,1,27.826441151473784,77.13506236283226
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,1,22.15660981190234,89.95051856761793
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,2,33.7141140725751,51.81274477207637
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,1,31.759665163433873,99.20090750981802
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,1,31.955159735215233,72.74533014411986
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,1,23.453062726026303,67.96155703108616
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,1,35.013971554680495,64.6362218919886
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,1,20.990744686038596,58.71783538254358
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,1,30.934285469001352,89.5786954465014
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,1,38.952278129049894,97.77070823730483
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,1,23.04731837434656,70.6822377422699
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,1,25.16851135198614,97.62103473767282
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,1,28.498256825438204,91.18988077175172
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,1,25.482621729419005,74.05255637381592
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,1,20.246682844669337,83.70130895630663
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,1,28.342814874030136,71.74920895852316
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,2,22.688481431369475,77.93617041062762
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,2,30.36796215317591,52.90231685092519
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,1,23.402878828830985,84.81317376502665
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,2,35.7496720250877,52.64123222420684
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,0,24.083733538318814,90.85424734598247
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,1,26.38969241897162,91.24734647302787
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,0,32.06758608684835,61.85386437781073
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,1,21.845678417830225,66.18313905179002
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,1,29.137299673020646,74.06551892791467
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,1,34.53571377141214,79.83314534662408
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,2,19.96258382719386,64.36768308709983
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,0,28.92316929266152,79.62432023159624
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,2,29.299413971242117,64.88935366146494
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,1,31.90911435888655,52.774536053553035
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,0,21.81524644560959,50.12637749159545
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,1,21.397716934578618,55.05755289592143
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,2,30.60970782808449,89.61253500820091
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,1,29.48492336616593,98.07156561916685
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,1,29.252464251729382,71.34830996406096
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,2,29.732241047484877,75.63419767249714
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,2,24.599876392107547,57.342408453671304
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,1,29.161268485805017,77.55156763400785
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,1,29.465362366493405,57.23274510034884
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,0,24.42824290986816,80.56071655994151
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,2,37.328872555723784,96.6629333790427
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,0,30.36916460455894,59.78492696515198
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,2,22.043482513986756,88.2281859028551
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,1,31.28276804316915,51.175121140916204
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,1,23.126591648863393,68.77486206608106
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,1,31.93542301871226,55.53742539152545
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,1,33.79297789503702,67.62377207978497
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,2,23.89658840824145,58.676845981944176
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,2,32.816880646221605,68.66524950614436
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,1,30.06390463468249,70.87614030537651
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,0,32.11030079997245,65.02955613904592
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,0,37.48396491326974,82.83109747365646
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,1,26.773059419985646,95.94260256294548
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,1,24.23131917821255,70.02976870526362
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,2,23.552427851872384,59.61715782375107
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,1,23.920948575172808,63.536137909799166
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,2,27.614491452929478,92.70004117481845
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,2,29.70575987408322,78.5819861635074
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,1,29.383453996650097,72.75055161534786
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,1,32.13591624518012,57.48183607544634
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,1,28.065009459389536,72.4863654161891
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,1,35.26767038578659,63.92460016786933
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,1,26.67671583381022,97.15815639266745
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,1,41.600845832948096,94.20350547078657
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,1,31.12833673882503,54.1951270914099
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,0,23.714212217918586,75.83267446306215
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,2,22.64553750969444,61.2529172757336
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,1,30.412362076215928,70.53885447621454
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,1,26.882686073370746,93.84239991257283
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,1,31.57000247046046,76.37572599442724
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,1,30.366188122867726,66.71076466853799
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,1,27.635855436715637,60.39441770524985
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,1,23.766031409657977,90.01624297032447
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,2,20.425763876570677,81.22590076821736
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,1,25.767425239664895,73.40327302131156
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,1,32.28199397161736,60.8742176931489
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,0,29.07046872065102,66.71231870785657
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,0,21.771306106440058,97.99217133692594
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,2,28.86590462925591,76.00449688029173
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,1,29.926586898644185,70.03496406216264
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,0,23.580712818994336,76.07110211741619
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,2,28.76862552972764,88.94942529498044
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,1,28.29104359223,67.00544682514344
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,1,22.285148510846884,58.935306046630444
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,1,29.788936801741418,79.24680591695238
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,1,30.80392263184117,83.26020517405337
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,2,33.41525621587638,85.63590014792749
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,1,33.26901026017451,94.09937953830648
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,1,21.111653160214544,68.55870603445565
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,2,23.310874800424386,53.76774481144459
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,1,30.5751763360433,97.9174291815471
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,2,30.568929754561044,71.75059637187375
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,1,30.575238431530238,81.16287548365656
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,1,47.26365745327361,83.31526615641462
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,1,30.854452553465833,77.32568543506018
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,1,33.677828200902994,60.262876486813504
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,0,32.770008817466014,87.75715250580707
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,1,31.25695625652899,90.18759871520408
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,2,26.42365377679827,77.648779300872
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,1,31.794846102466337,74.42805802924208
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,1,24.13587392731214,55.696909156399265
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,1,26.815906966299956,54.19758307498919
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,1,25.573182260854484,66.97824227817644
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,2,28.409370696931614,65.54230777586966
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,1,39.573292833367546,97.68282254816356
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,0,18.66367403704126,89.18113712217149
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,1,31.43130095187257,82.996214762953
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,1,19.936420644051744,75.88240445088024
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,1,25.640340671052833,58.36837653633257
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,1,33.44475298483683,98.9228336092142
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,1,28.321400095477316,68.7520349120105
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,1,22.61127611035347,55.34628012236224
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,2,24.42348145370016,74.6899447857873
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,1,31.39798874467338,93.69990058065416
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,1,24.34816684141432,94.36455008886648
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,1,29.082292947909874,50.548295802822366
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,1,28.22785919951907,94.31478723756999
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,1,24.741998261970913,63.57421087499293
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,1,38.719720446626624,51.94861819842115
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,2,31.169595111590056,92.38951351814372
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,1,17.874287066711965,93.19333779941041
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,2,28.93227157384714,79.8115539921175
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,1,24.69106767615806,78.72168786481792
240,L47419,L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,1,32.26216667398112,90.65601363107098
241,M15100,M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,2,24.037396307836495,89.31547763551399
242,L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,1,27.426317792665504,94.5052736721352
243,L47422,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,1,30.524936394902287,77.63737237983517
244,L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,1,32.32877597085061,98.38235463664043
245,M15104,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,2,21.998517964721117,99.80734154666692
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,2,26.327493820795258,55.82723049993163
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,1,25.62527344419522,92.47718797770611
248,L47427,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,1,24.73335383713144,74.99111288742945
249,L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,1,36.82727120140548,69.3783169149916
250,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,1,30.024908554804778,80.65361549413575
